idProposicao,uri,dataApresentacao,siglaTipo,codTipo,numero,ano,nomeProposicao,indTramitando
140799,http://legis.senado.gov.br/dadosabertos/materia/140799,2020-02-19,ATN,,00001,2020,ATN 1/2020,Sim
140611,http://legis.senado.gov.br/dadosabertos/materia/140611,2020-02-11,AVN,,00001,2020,AVN 1/2020,Sim
140780,http://legis.senado.gov.br/dadosabertos/materia/140780,2020-02-18,AVN,,00002,2020,AVN 2/2020,Sim
140781,http://legis.senado.gov.br/dadosabertos/materia/140781,2020-02-18,AVN,,00003,2020,AVN 3/2020,Sim
140782,http://legis.senado.gov.br/dadosabertos/materia/140782,2020-02-18,AVN,,00004,2020,AVN 4/2020,Sim
140862,http://legis.senado.gov.br/dadosabertos/materia/140862,2020-03-03,AVN,,00005,2020,AVN 5/2020,Sim
141085,http://legis.senado.gov.br/dadosabertos/materia/141085,2020-03-12,AVN,,00006,2020,AVN 6/2020,Sim
140697,http://legis.senado.gov.br/dadosabertos/materia/140697,2020-02-13,INS,,00001,2020,INS 1/2020,Sim
140819,http://legis.senado.gov.br/dadosabertos/materia/140819,2020-02-21,INS,,00002,2020,INS 2/2020,Sim
140948,http://legis.senado.gov.br/dadosabertos/materia/140948,2020-03-04,INS,,00003,2020,INS 3/2020,Sim
140987,http://legis.senado.gov.br/dadosabertos/materia/140987,2020-03-05,INS,,00004,2020,INS 4/2020,Sim
140986,http://legis.senado.gov.br/dadosabertos/materia/140986,2020-03-05,INS,,00005,2020,INS 5/2020,Sim
140981,http://legis.senado.gov.br/dadosabertos/materia/140981,2020-03-05,INS,,00006,2020,INS 6/2020,Sim
140985,http://legis.senado.gov.br/dadosabertos/materia/140985,2020-03-05,INS,,00007,2020,INS 7/2020,Sim
140982,http://legis.senado.gov.br/dadosabertos/materia/140982,2020-03-05,INS,,00008,2020,INS 8/2020,Sim
140983,http://legis.senado.gov.br/dadosabertos/materia/140983,2020-03-05,INS,,00009,2020,INS 9/2020,Sim
140988,http://legis.senado.gov.br/dadosabertos/materia/140988,2020-03-09,INS,,00010,2020,INS 10/2020,Sim
141131,http://legis.senado.gov.br/dadosabertos/materia/141131,2020-03-20,INS,,00011,2020,INS 11/2020,Sim
141138,http://legis.senado.gov.br/dadosabertos/materia/141138,2020-03-20,INS,,00012,2020,INS 12/2020,Sim
141169,http://legis.senado.gov.br/dadosabertos/materia/141169,2020-03-24,INS,,00013,2020,INS 13/2020,Sim
141189,http://legis.senado.gov.br/dadosabertos/materia/141189,2020-03-24,INS,,00014,2020,INS 14/2020,Não
141239,http://legis.senado.gov.br/dadosabertos/materia/141239,2020-03-27,INS,,00015,2020,INS 15/2020,Sim
141272,http://legis.senado.gov.br/dadosabertos/materia/141272,2020-03-27,INS,,00016,2020,INS 16/2020,Sim
141282,http://legis.senado.gov.br/dadosabertos/materia/141282,2020-03-30,INS,,00017,2020,INS 17/2020,Sim
140433,http://legis.senado.gov.br/dadosabertos/materia/140433,2020-02-03,MCN,,00001,2020,MCN 1/2020,Sim
140452,http://legis.senado.gov.br/dadosabertos/materia/140452,2020-02-04,MCN,,00002,2020,MCN 2/2020,Sim
140834,http://legis.senado.gov.br/dadosabertos/materia/140834,2020-02-28,MCN,,00003,2020,MCN 3/2020,Sim
141146,http://legis.senado.gov.br/dadosabertos/materia/141146,2020-03-23,MCN,,00004,2020,MCN 4/2020,Sim
140394,http://legis.senado.gov.br/dadosabertos/materia/140394,2020-01-03,MPV,,00918,2020,MPV 918/2020,Sim
140423,http://legis.senado.gov.br/dadosabertos/materia/140423,2020-01-31,MPV,,00919,2020,MPV 919/2020,Sim
140424,http://legis.senado.gov.br/dadosabertos/materia/140424,2020-01-31,MPV,,00920,2020,MPV 920/2020,Sim
140592,http://legis.senado.gov.br/dadosabertos/materia/140592,2020-02-10,MPV,,00921,2020,MPV 921/2020,Sim
140840,http://legis.senado.gov.br/dadosabertos/materia/140840,2020-03-02,MPV,,00922,2020,MPV 922/2020,Sim
140850,http://legis.senado.gov.br/dadosabertos/materia/140850,2020-03-03,MPV,,00923,2020,MPV 923/2020,Sim
141104,http://legis.senado.gov.br/dadosabertos/materia/141104,2020-03-13,MPV,,00924,2020,MPV 924/2020,Sim
141111,http://legis.senado.gov.br/dadosabertos/materia/141111,2020-03-19,MPV,,00925,2020,MPV 925/2020,Sim
141144,http://legis.senado.gov.br/dadosabertos/materia/141144,2020-03-20,MPV,,00926,2020,MPV 926/2020,Sim
141145,http://legis.senado.gov.br/dadosabertos/materia/141145,2020-03-22,MPV,,00927,2020,MPV 927/2020,Sim
141147,http://legis.senado.gov.br/dadosabertos/materia/141147,2020-03-23,MPV,,00928,2020,MPV 928/2020,Sim
141209,http://legis.senado.gov.br/dadosabertos/materia/141209,2020-03-25,MPV,,00929,2020,MPV 929/2020,Sim
141308,http://legis.senado.gov.br/dadosabertos/materia/141308,2020-03-30,MPV,,00930,2020,MPV 930/2020,Sim
141309,http://legis.senado.gov.br/dadosabertos/materia/141309,2020-03-30,MPV,,00931,2020,MPV 931/2020,Sim
140651,http://legis.senado.gov.br/dadosabertos/materia/140651,2020-02-13,MSF,,00001,2020,MSF 1/2020,Sim
140652,http://legis.senado.gov.br/dadosabertos/materia/140652,2020-02-13,MSF,,00002,2020,MSF 2/2020,Sim
140746,http://legis.senado.gov.br/dadosabertos/materia/140746,2020-02-18,MSF,,00003,2020,MSF 3/2020,Sim
141067,http://legis.senado.gov.br/dadosabertos/materia/141067,2020-03-12,MSF,,00004,2020,MSF 4/2020,Sim
141173,http://legis.senado.gov.br/dadosabertos/materia/141173,2020-03-24,MSF,,00005,2020,MSF 5/2020,Não
140786,http://legis.senado.gov.br/dadosabertos/materia/140786,2020-02-19,OFN,,00001,2020,OFN 1/2020,Sim
140797,http://legis.senado.gov.br/dadosabertos/materia/140797,2020-02-19,OFN,,00002,2020,OFN 2/2020,Sim
140508,http://legis.senado.gov.br/dadosabertos/materia/140508,2020-02-05,OFS,,00001,2020,OFS 1/2020,Sim
140747,http://legis.senado.gov.br/dadosabertos/materia/140747,2019-12-27,OFS,,00002,2020,OFS 2/2020,Sim
140778,http://legis.senado.gov.br/dadosabertos/materia/140778,2020-02-19,PCE,,00001,2020,PCE 1/2020,Sim
141192,http://legis.senado.gov.br/dadosabertos/materia/141192,2020-03-25,PCE,,00002,2020,PCE 2/2020,Sim
140456,http://legis.senado.gov.br/dadosabertos/materia/140456,2020-02-04,PDL,,00013,2020,PDL 13/2020,Sim
140457,http://legis.senado.gov.br/dadosabertos/materia/140457,2020-02-04,PDL,,00014,2020,PDL 14/2020,Sim
140458,http://legis.senado.gov.br/dadosabertos/materia/140458,2020-02-04,PDL,,00015,2020,PDL 15/2020,Sim
140616,http://legis.senado.gov.br/dadosabertos/materia/140616,2020-02-11,PDL,,00035,2020,PDL 35/2020,Sim
140618,http://legis.senado.gov.br/dadosabertos/materia/140618,2020-02-11,PDL,,00036,2020,PDL 36/2020,Sim
140619,http://legis.senado.gov.br/dadosabertos/materia/140619,2020-02-11,PDL,,00037,2020,PDL 37/2020,Sim
140631,http://legis.senado.gov.br/dadosabertos/materia/140631,2020-02-11,PDL,,00040,2020,PDL 40/2020,Sim
140649,http://legis.senado.gov.br/dadosabertos/materia/140649,2020-02-13,PDL,,00043,2020,PDL 43/2020,Sim
140713,http://legis.senado.gov.br/dadosabertos/materia/140713,2020-02-17,PDL,,00053,2020,PDL 53/2020,Sim
140714,http://legis.senado.gov.br/dadosabertos/materia/140714,2020-02-17,PDL,,00054,2020,PDL 54/2020,Sim
140734,http://legis.senado.gov.br/dadosabertos/materia/140734,2020-02-18,PDL,,00055,2020,PDL 55/2020,Sim
140735,http://legis.senado.gov.br/dadosabertos/materia/140735,2020-02-18,PDL,,00056,2020,PDL 56/2020,Sim
140754,http://legis.senado.gov.br/dadosabertos/materia/140754,2020-02-18,PDL,,00059,2020,PDL 59/2020,Sim
140895,http://legis.senado.gov.br/dadosabertos/materia/140895,2020-03-04,PDL,,00067,2020,PDL 67/2020,Sim
140899,http://legis.senado.gov.br/dadosabertos/materia/140899,2020-03-04,PDL,,00068,2020,PDL 68/2020,Sim
140995,http://legis.senado.gov.br/dadosabertos/materia/140995,2020-03-12,PDL,,00074,2020,PDL 74/2020,Sim
140996,http://legis.senado.gov.br/dadosabertos/materia/140996,2020-03-12,PDL,,00075,2020,PDL 75/2020,Sim
