idProposicao,siglaTipo,nomeProposicao,ementa,dataApresentacao,casaOrigem,nomeAutor,regimeTramitacao,descricaoSituacao,urlInteiroTeor
2236217,SUG,SUG 1/2020,"Sugere estudo visando verificar a atuação do Ministério da Economia, bem como da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE, no exercício de suas atribuições de realização do Censo Demográfico 2020, no que diz respeito às interferências técnicas do Ministério sobre a autonomia da fundação pública, assim como dos impactos da redução de escopo para fins de qualidade do resultado do Censo. NA",2020-01-03T11:09:00Z,,Sindicato Nacional dos Trabalhadores em Fundações Públicas Federais da Geografia e Estatística,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851706
2236218,SUG,SUG 2/2020,"Sugere audiência pública para debater assuntos, discutir estratégias, conscientizar a população sobre a fibromialgia e comemorar o dia mundial de conscientização da fibromialgia com autoridades das áreas médica, jurídica e política. NA",2020-01-03T11:24:00Z,,Associação Nacional de Fibromiálgicos e Doenças Correlacionadas,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851707
2236222,RIC,RIC 1/2020,Requer informações detalhadas ao Ministro da Cidadania sobre as mudanças no número de Beneficiários do Bolsa Família bem como a não correção pela inflação no orçamento destinado ao programa para 2020. ,2020-01-03T14:50:00Z,CD,João H. Campos,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851736
2236223,MPV,MPV 918/2020,Cria funções de confiança destinadas à Polícia Federal e extingue cargos em comissão. ,2020-01-03T11:59:00Z,,Poder Executivo,,Aguardando Recebimento,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851788
2236235,MSC,MSC 11/2020,"texto do Tratado entre a República Federativa do Brasil e a Confederação Suíça sobre a Transferência de Pessoas Condenadas, celebrado em Brasília, em 23 de novembro de 2015. ",2020-01-17T11:17:00Z,,Poder Executivo,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1854525
2236238,RIC,RIC 2/2020,Solicita ao Ministério de Relações Exteriores informações e documentos ausentes e/ou incompletos na resposta ao Requerimento de Informação 1622/2019 acerca da atuação do Brasil em relação ao Golpe de Estado na Bolívia. ,2020-01-22T15:53:00Z,CD,Ivan Valente,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853054
2236240,REQ,REQ 1/2020,"Solicita que seja convocado o Sr. Abraham Weintraub, Ministro da Educação, a fim de prestar esclarecimentos sobre erro nas notas das provas do ENEM 2019. NA",2020-01-24T09:54:00Z,CD,Tabata Amaral,,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853110
2236241,MSC,MSC 14/2020,"Texto do Protocolo sobre Transferência de Pessoas Sujeitas a Regimes Especiais (Complementar ao Acordo sobre Transferência de Pessoas Condenadas entre os Estados Partes do Mercosul e a República da Bolívia e a República do Chile), celebrado em Assunção, em 20 de junho de 2005 ",2020-01-24T12:58:00Z,,Poder Executivo,,Aguardando Parecer,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1856433
2236242,REQ,REQ 1/2020,Requer a realização de Audiência Pública para debater o papel dos conselhos profissionais de classe na sociedade brasileira e as matérias legislativas que dispõe sobre a existência e atuação dessas instituições NA,2020-01-24T14:24:00Z,CD,Rogério Correia,,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853137
2236243,REQ,REQ 2/2020,Requer a realização de Audiência Pública para debater a situação do Instituto Nacional de Seguridade Social (INSS). NA,2020-01-24T14:24:00Z,CD,Rogério Correia,,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853138
